Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
649	4.0000	0.7960	0.7814
650	6.0000	1.1940	1.1721
651	6.0000	1.1940	1.1721
652	6.0000	1.1940	1.1721
653	5.0000	0.9950	0.9768
654	3.0000	0.5970	0.5861
655	4.0000	0.7960	0.7814
656	6.0000	1.1940	1.1721
657	6.0000	1.1940	1.1721
658	6.0000	1.1940	1.1721
659	4.0000	0.7960	0.7814
660	6.0000	1.1940	1.1721
661	4.0000	0.7960	0.7814
662	2.0000	0.3980	0.3907
663	6.0000	1.1940	1.1721
664	4.0000	0.7960	0.7814
665	5.0000	0.9950	0.9768
666	3.0000	0.5970	0.5861
667	3.0000	0.5970	0.5861
668	7.0000	1.3930	1.3675
669	4.0000	0.7960	0.7814
670	6.0000	1.1940	1.1721
671	6.0000	1.1940	1.1721
672	7.0000	1.3930	1.3675
673	6.0000	1.1940	1.1721
674	6.0000	1.1940	1.1721
675	7.0000	1.3930	1.3675
676	4.0000	0.7960	0.7814
677	6.0000	1.1940	1.1721
678	6.0000	1.1940	1.1721
679	4.0000	0.7960	0.7814
680	6.0000	1.1940	1.1721
681	6.0000	1.1940	1.1721
682	4.0000	0.7960	0.7814
683	4.0000	0.7960	0.7814
684	3.0000	0.5970	0.5861
685	3.0000	0.5970	0.5861
686	7.0000	1.3930	1.3675
687	6.0000	1.1940	1.1721
688	6.0000	1.1940	1.1721
689	6.0000	1.1940	1.1721
690	6.0000	1.1940	1.1721
691	4.0000	0.7960	0.7814
692	4.0000	0.7960	0.7814
693	4.0000	0.7960	0.7814
694	2.0000	0.3980	0.3907
695	4.0000	0.7960	0.7814
696	3.0000	0.5970	0.5861
697	5.0000	0.9950	0.9768
698	6.0000	1.1940	1.1721
699	7.0000	1.3930	1.3675
700	7.0000	1.3930	1.3675
701	5.0000	0.9950	0.9768
702	3.0000	0.5970	0.5861
703	4.0000	0.7960	0.7814
704	5.0000	0.9950	0.9768
705	2.0000	0.3980	0.3907
706	3.0000	0.5970	0.5861
707	3.0000	0.5970	0.5861
708	6.0000	1.1940	1.1721
709	7.0000	1.3930	1.3675
710	6.0000	1.1940	1.1721
711	5.0000	0.9950	0.9768
712	6.0000	1.1940	1.1721
713	6.0000	1.1940	1.1721
714	7.0000	1.3930	1.3675
715	6.0000	1.1940	1.1721
716	6.0000	1.1940	1.1721
717	6.0000	1.1940	1.1721
718	6.0000	1.1940	1.1721
719	3.0000	0.5970	0.5861
720	4.0000	0.7960	0.7814
721	6.0000	1.1940	1.1721
722	7.0000	1.3930	1.3675
723	4.0000	0.7960	0.7814
724	4.0000	0.7960	0.7814
725	5.0000	0.9950	0.9768
726	5.0000	0.9950	0.9768
727	6.0000	1.1940	1.1721
728	5.0000	0.9950	0.9768
729	5.0000	0.9950	0.9768
730	4.0000	0.7960	0.7814
731	4.0000	0.7960	0.7814
732	6.0000	1.1940	1.1721
733	6.0000	1.1940	1.1721
734	6.0000	1.1940	1.1721
735	6.0000	1.1940	1.1721
736	5.0000	0.9950	0.9768
737	6.0000	1.1940	1.1721
738	4.0000	0.7960	0.7814
739	6.0000	1.1940	1.1721
740	7.0000	1.3930	1.3675
741	4.0000	0.7960	0.7814
742	6.0000	1.1940	1.1721
743	6.0000	1.1940	1.1721
744	6.0000	1.1940	1.1721
745	6.0000	1.1940	1.1721
746	3.0000	0.5970	0.5861
747	7.0000	1.3930	1.3675
748	6.0000	1.1940	1.1721
749	2.0000	0.3980	0.3907
750	5.0000	0.9950	0.9768
751	6.0000	1.1940	1.1721
752	6.0000	1.1940	1.1721
753	6.0000	1.1940	1.1721
754	2.0000	0.3980	0.3907
755	7.0000	1.3930	1.3675
756	4.0000	0.7960	0.7814
757	7.0000	1.3930	1.3675
758	4.0000	0.7960	0.7814
759	4.0000	0.7960	0.7814
760	4.0000	0.7960	0.7814
761	7.0000	1.3930	1.3675
762	6.0000	1.1940	1.1721
763	6.0000	1.1940	1.1721
764	7.0000	1.3930	1.3675
765	6.0000	1.1940	1.1721
766	6.0000	1.1940	1.1721
767	5.0000	0.9950	0.9768
768	0.0000	0.0000	0.0000
769	4.0000	0.7960	0.7814
770	5.0000	0.9950	0.9768
771	4.0000	0.7960	0.7814
772	4.0000	0.7960	0.7814
773	6.0000	1.1940	1.1721
774	6.0000	1.1940	1.1721
775	4.0000	0.7960	0.7814
776	4.0000	0.7960	0.7814
777	6.0000	1.1940	1.1721
778	3.0000	0.5970	0.5861
779	4.0000	0.7960	0.7814
780	6.0000	1.1940	1.1721
781	4.0000	0.7960	0.7814
782	7.0000	1.3930	1.3675
783	6.0000	1.1940	1.1721
784	6.0000	1.1940	1.1721
785	7.0000	1.3930	1.3675
786	5.0000	0.9950	0.9768
787	5.0000	0.9950	0.9768
788	6.0000	1.1940	1.1721
789	6.0000	1.1940	1.1721
790	6.0000	1.1940	1.1721
791	7.0000	1.3930	1.3675
792	6.0000	1.1940	1.1721
793	3.0000	0.5970	0.5861
794	4.0000	0.7960	0.7814
795	4.0000	0.7960	0.7814
796	4.0000	0.7960	0.7814
797	4.0000	0.7960	0.7814
798	6.0000	1.1940	1.1721
799	7.0000	1.3930	1.3675
800	4.0000	0.7960	0.7814
801	6.0000	1.1940	1.1721
802	6.0000	1.1940	1.1721
803	3.0000	0.5970	0.5861
804	7.0000	1.3930	1.3675
805	6.0000	1.1940	1.1721
