Tree	R-F	R-F_toYuleAvg	R-F_toUnifAvg
769	2.0000	0.7740	0.7590
770	3.0000	1.1610	1.1385
771	2.0000	0.7740	0.7590
772	1.0000	0.3870	0.3795
773	3.0000	1.1610	1.1385
774	3.0000	1.1610	1.1385
775	2.0000	0.7740	0.7590
776	3.0000	1.1610	1.1385
777	3.0000	1.1610	1.1385
778	3.0000	1.1610	1.1385
779	1.0000	0.3870	0.3795
780	2.0000	0.7740	0.7590
781	3.0000	1.1610	1.1385
782	2.0000	0.7740	0.7590
783	3.0000	1.1610	1.1385
784	3.0000	1.1610	1.1385
785	2.0000	0.7740	0.7590
786	3.0000	1.1610	1.1385
787	3.0000	1.1610	1.1385
788	2.0000	0.7740	0.7590
789	3.0000	1.1610	1.1385
790	2.0000	0.7740	0.7590
791	3.0000	1.1610	1.1385
792	3.0000	1.1610	1.1385
793	0.0000	0.0000	0.0000
794	3.0000	1.1610	1.1385
795	2.0000	0.7740	0.7590
796	2.0000	0.7740	0.7590
797	3.0000	1.1610	1.1385
798	3.0000	1.1610	1.1385
799	2.0000	0.7740	0.7590
800	3.0000	1.1610	1.1385
801	3.0000	1.1610	1.1385
802	2.0000	0.7740	0.7590
803	0.0000	0.0000	0.0000
804	3.0000	1.1610	1.1385
805	3.0000	1.1610	1.1385
806	2.0000	0.7740	0.7590
807	3.0000	1.1610	1.1385
808	3.0000	1.1610	1.1385
809	0.0000	0.0000	0.0000
810	3.0000	1.1610	1.1385
